edad,frecuencia_videojuegos,videojuegos_que_consume,consumo_simultaneo_musica_videojuego,tipo_musica_simultaneo_videojuegos,porcentaje_role,porcentaje_accion,porcentaje_aventura,porcentaje_arcade,porcentaje_deportivo,porcentaje_estrategia,porcentaje_simulacion,porcentaje_mesa,porcentaje_musical,total_usuarios
23,0,"Sin consumo",0,"Ninguna ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
23,3,"Doom Eternal, Hades, Red Dead Redemption 2",1,"Techno, Indie rock, grunge, alternativo ",2.0000,3.0000,3.0000,2.0000,0.0000,2.0000,2.0000,1.0000,0.0000,1
23,2,Fortnite,1,"Rock, pop, punk y afines",0.0000,3.0000,2.0000,2.0000,2.0000,2.0000,1.0000,2.0000,2.0000,1
23,2,"Brawl stars ",0,"No aplica",0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1
23,1,"Minecraft, Hive.",1,"Pop, rock ",2.0000,1.0000,3.0000,2.0000,1.0000,2.0000,2.0000,3.0000,2.0000,1
23,2,"Planchas contra zombies, Clash y sudoku",0,"No aplica",2.0000,2.0000,1.0000,1.0000,0.0000,3.0000,1.0000,3.0000,1.0000,1
23,1,"Rainbow Six Siege 
Minecraft 
Valorant",1,"Rock, Rap, Trap, Indie Rock Alternativo ",2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1
23,2,"Minecraft, Diablo 4, GTAV",0,"No aplica",2.0000,3.0000,3.0000,1.0000,0.0000,1.0000,2.0000,0.0000,0.0000,1
23,3,"GTA,GOD OF WAR,INJUSTICE",1,"Trap argentino",2.0000,3.0000,3.0000,2.0000,2.0000,2.0000,3.0000,3.0000,3.0000,1
23,3,"Free fire cod ",1,"Pop ",2.0000,2.0000,2.0000,2.0000,1.0000,2.0000,1.0000,0.0000,0.0000,1
24,0,"No ",0,"No aplica",0.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1
24,0,"Silent Hills, The forest, generó shoter",0,"No aplica",0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,3.0000,2.0000,2.0000,1
24,2,"Fortnite, fifa y warzone",0,"No aplica",0.0000,3.0000,1.0000,1.0000,2.0000,1.0000,1.0000,2.0000,0.0000,1
25,2,"Mario kart",1,"De todo",2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1
25,3,"Shooter, RPG. MOBA",0,"No aplica",0.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,2.0000,0.0000,1
26,2,"Fortnite, bioshock, y varios juegos de scape rooms (puzzles)",1,"Downtempo, house, dreamwave ",1.0000,2.0000,3.0000,1.0000,0.0000,3.0000,2.0000,1.0000,2.0000,1
27,2,"Bayonetta, Kirby Adventures, Mario Kart, Smash",0,"No aplica",1.0000,2.0000,2.0000,3.0000,2.0000,2.0000,2.0000,3.0000,2.0000,1
27,0,"Sin consumo",0,"Ninguna por qué no juego ninguno ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
